sentence1,sentence2,similarity
水稻 纹枯病 的 识别 与 防治,水稻 纹枯病 的 识别 及 防治,1
水稻 一生 中 有 哪些 病虫害,水稻 品种 的 抗性 影响 稻 曲 病 发生 的 轻重 一般说来 有 哪些 规律,0
水稻 早 穗 的 表现 有 哪些,水稻 早 穗 的 原因 及 预防措施 有 哪些,0
早春 防止 水稻 烂秧 措施 有 哪些,水稻 如何 防止 烂 种 烂秧,1
水稻 白 叶枯病 用 什么 农药 效果 好,水稻 结实 期 穗 发芽 的 原因 有 哪些 如何 防治,0
什么 是 水稻 的 三性,水稻 怎样 晒 田,0
水稻 穗 颈 稻瘟病 如何 科学 防治,如何 防治 水稻 稻 象 甲,0
如何 防治 稻 曲 病,稻 曲 病 发生 后 如何 治疗,1
怎样 识别 与 防治 水稻 细菌性 条斑 病,怎样 识别 与 防治 水稻 细菌性 基 腐 病,0
水稻 抽穗期 怎样 防 高温 危害,水稻 孕穗 抽穗期 如 高温 热害 最佳 减灾 措施 有 哪些,0
水稻 育苗 前 为什么 浸种,水稻 浸种 前 为什么 要 晒种 晒种 要 注意 什么,0
水稻 早 穗 现象 发生 原因,水稻 纹枯病 的 发生 原因 和 防治 方法,0
水稻 机 插秧 壮秧 的 主要 形态 特征 有 哪些,水稻 机 插秧 大棚 育秧 技术 要点 有 哪些,0
防治 水稻 稻飞虱 和 卷叶螟 的 有效 方法 有 哪些,防治 水稻 稻 纵 卷叶螟 比较 有效 的 药剂 有 哪些,0
单季稻 高温 热害 防范措施,水稻 中后期 高温 热害 防治 技术 如何,1
如何 科学 防治 水稻 螟虫,水稻 螟虫 防治 方法 有 哪些,1
水稻 稻 曲 病 何时 防治 最佳,水稻 稻 曲 病 的 防治 时期,1
如何 进行 水稻种子 处理,水稻 烂秧 及 预防 对策,0
水稻 的 稻瘟病 防治 方法,水稻 稻瘟病 的 防治 方法,1
由于 气候 原因 我 县 部分 水稻 发生 穗 颈 瘟 如何 治疗,水稻 发生 赤 枯 病 怎么办,0
水稻 直播 田 杂草 防除 技术,直播 稻田 杂草 防除 一般 采取 什么 策略,1
防治 水稻 稻瘟病 药剂 的 是 哪些,水稻 叶 瘟病 的 防治 技术 及 常用 药剂 有 哪些,0
晚稻 稻 曲 病 的 防治 最佳时期 是,水稻 稻 曲 病 在 破口 前 多少 天 防治 是 最佳时期,0
如何 判定 杂交 水稻种子 是 陈 种,杂交 水稻种子 与 常规 水稻种子 在 浸种 催芽 上 有 何 区别,0
如何 防治 水稻 赤 枯 病 铁锈 病,怎样 防治 水稻 赤 枯 病,1
如何 利用 农业 物理 等 技术 对 水稻 稻 负 泥 虫 进行 有效 防治,怎样 利用 高效 低毒 低 残留 农药 对 水稻 纹枯病 进行 科学 有效 防治,0
水稻 分蘖 最低气温 是 多少度 最适 气温 多少度,水稻 分蘖 生长 最适 温度 范围 不能 低于 或 高于 多少度,0
白 翅 叶蝉 对 水稻 的 危害 及 防治 方法,水稻 稻飞虱 如何 防治,0
水稻 插秧机 插秧 要 注意事项,水稻 机 插秧 有 什么 特点 机 插秧 要 注意 什么,0
